date,startup,vertical,subvertical,city,investors,rounds,amount
2016-08-11,91SpringBoard,Consumer Internet,Co-Working Spaces Discovery & Booking platform,Mumbai,Soumitra Sharma,Private Equity,0.0
2016-08-11,91SpringBoard,Consumer Internet,Co-Working Spaces Discovery & Booking platform,Mumbai,Deepak Sharma,Private Equity,0.0
2016-08-11,91SpringBoard,Consumer Internet,Co-Working Spaces Discovery & Booking platform,Mumbai,Sumit Dayal,Private Equity,0.0
2016-08-12,Crofarm,Technology,Agri-Tech supply chain Solution provider,Gurgaon,Mukul Singhal,Private Equity,12.375
2016-08-12,Crofarm,Technology,Agri-Tech supply chain Solution provider,Gurgaon,Rohit Jain,Private Equity,12.375
2016-08-12,Crofarm,Technology,Agri-Tech supply chain Solution provider,Gurgaon,Himanshu Aggarwal,Private Equity,12.375
2016-08-12,Crofarm,Technology,Agri-Tech supply chain Solution provider,Gurgaon,Sunil Goyal Ashish Gupta,Private Equity,12.375
2016-08-12,Innovaccer,Technology,Integrated Enterprise Analytics Platform,Noida,Westbridge Capital Partners,Private Equity,128.7
2016-08-12,Funcastic,Consumer Internet,B2C vernacular podcast aggregator platform,Delhi,Ht Media Ltd,Seed Funding,0.0
2016-08-15,Buttercups,ECommerce,Women Intimate Wear eTailer,Bengaluru,Manoj Varghese,Seed Funding,0.0
2016-08-16,Hike,Consumer Internet,Mobile Messaging App,Delhi,Foxconn Technology Group,Private Equity,1443.75
2016-08-16,Hike,Consumer Internet,Mobile Messaging App,Delhi,Bharti Enterprises,Private Equity,1443.75
2016-08-16,Makkajai,Technology,Online & Mobile learning for kids,Pune,Ananth Narayanan,Seed Funding,2.0625
